InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,Uvulars,Marginal_Uvular,Ejectives,Marginal_Ejective
2442,sout2679,vro,South Estonian,Võro,NA,ea,ural1272,language,vulnerable,57.85,27,,Eurasia,NA,NA,NA,NA
2443,roma1327,ron,Romanian,Romanian,Romanian (Standard),ea,indo1319,language,safe,46.3913,24.2256,BG HU MD RO RS UA,Eurasia,NA,NA,NA,NA
2444,yaku1245,sah,Sakha,Sakha,Sakha (Standard),ea,turk1311,language,vulnerable,61.6974,133.98,RU,Eurasia,2,NA,NA,NA
2445,nort2699,kfb,Northwestern Kolami,Kolami,Kolami (Wardha),ea,drav1251,language,definitely endangered,20.1022,78.4934,IN,Eurasia,NA,NA,NA,NA
2446,kare1335,krl,Karelian,Karelian,Karelian (North),ea,ural1272,language,definitely endangered,65.1691,30.8655,FI RU,Eurasia,NA,NA,NA,NA
2447,slov1269,slk,Slovak,Slovak,Slovak (Standard),ea,indo1319,language,vulnerable,48.545705,18.78479,AT CZ HU PL RS SK UA,Eurasia,NA,NA,NA,NA
2448,livv1244,liv,Liv,Livonian,Livonian (Vidzeme),ea,ural1272,language,extinct,57.566,22.0262,LV,Eurasia,NA,NA,NA,NA
2449,hebr1245,heb,Modern Hebrew,Israeli Hebrew,NA,ea,afro1255,language,safe,31.1056,35.0179,IL JO LB PS SY,Eurasia,1,NA,NA,NA
2450,fore1274,mis,Forest Nenets,Forest Nenets,NA,ea,ural1272,language,definitely endangered,63.72,71.97,RU,Eurasia,NA,NA,NA,NA
2451,east2347,taj,Eastern Tamang,Tamang,Tamang (Eastern),ea,sino1245,language,vulnerable,27.3239,87.0832,IN NP,Eurasia,NA,NA,NA,NA
2452,guja1252,guj,Gujarati,Gujarati,Gujarati (Standard),ea,indo1319,language,safe,22.687,71.0962,BD IN PK,Eurasia,NA,NA,NA,NA
2453,miya1259,mvi,Miyako,Miyako,Miyako (Ogami),ea,japo1237,language,severely endangered,24.7564,125.363,JP,Eurasia,NA,NA,NA,NA
2454,maga1260,mag,Magahi,Magahi,NA,ea,indo1319,language,safe,25.0915,85.3335,IN,Eurasia,NA,NA,NA,NA
2455,slov1268,slv,Slovenian,Slovene,Slovene (Standard),ea,indo1319,language,definitely endangered,46.2543,14.7766,AT HR HU IT SI,Eurasia,NA,NA,NA,NA
2456,puri1258,prx,Purik-Sham-Nubra,Purki,NA,ea,sino1245,language,safe,34.3386,76.0127,IN PK,Eurasia,3,NA,NA,NA
2457,mand1415,cmn,Mandarin Chinese,Standard Chinese,Standard Chinese (Beijing),ea,sino1245,language,safe,40.0209,116.228,CN KP LA MM MN RU TW VN,Eurasia,NA,NA,NA,NA
2458,mode1248,ell,Modern Greek,Greek,Greek (Standard),ea,indo1319,language,severely endangered,42.3224,24.8699,AL BG CY EG GR IT MK RO TR UA,NA,NA,NA,NA,NA
2459,kama1351,xas,Kamas-Koibal,Kamassian,NA,ea,ural1272,language,extinct,55.07,94.83,RU,Eurasia,NA,NA,NA,NA
2460,komi1268,kpv,Komi-Zyrian,Komi-Zyrian,Komi-Zyrian (Syktyvkar),ea,ural1272,language,critically endangered,64.0527,54.946,RU,Eurasia,NA,NA,NA,NA
2461,ngan1291,nio,Nganasan,Nganasan,Nganasan (Avam),ea,ural1272,language,severely endangered,73.1354,86.2106,RU,Eurasia,NA,NA,NA,NA
2462,viet1252,vie,Vietnamese,Vietnamese,Vietnamese (Hanoi),ea,aust1305,language,safe,20.681188,105.774071,CN LA VN,Eurasia,NA,NA,NA,NA
2463,dhim1246,dhi,Dhimal,Dhimal,NA,ea,sino1245,language,definitely endangered,26.6283,88.3798,IN NP,Eurasia,NA,NA,NA,NA
2464,mong1331,mon,Mongolian,Mongolian,Mongolian (Khalkha),ea,mong1329,family,safe,NA,NA,MN,NA,3,NA,NA,NA
2465,andi1255,ani,Andi,Andi,NA,ea,nakh1245,language,vulnerable,42.8078,46.2919,RU,Eurasia,12,NA,12,NA
2466,urdu1245,urd,Urdu,Urdu,NA,ea,indo1319,language,safe,25,67,AF BD IN PK,Eurasia,1,NA,NA,NA
2467,avar1256,ava,Avar,Avar,Avar (Chadakolob),ea,nakh1245,language,vulnerable,41.7047,46.558,AZ GE RU TR,Eurasia,8,NA,13,NA
2468,abkh1244,abk,Abkhazian,Abkhaz,Abkhaz (Abzhywa),ea,abkh1242,language,vulnerable,43.056218,41.159115,GE RU TR,Eurasia,9,NA,14,NA
2469,fore1265,enf,Forest Enets,Forest Enets,NA,ea,ural1272,language,severely endangered,69.9829,88.2121,RU,Eurasia,NA,NA,NA,NA
2470,west2354,fry,Western Frisian,Frisian,Frisian (West),ea,indo1319,language,safe,53.143,5.86091,NL,Eurasia,NA,NA,NA,NA
2471,taid1249,tyr,Tai Daeng,Tay Daeng,NA,ea,taik1256,language,definitely endangered,20.4559,104.625,LA VN,Eurasia,NA,NA,NA,NA
2472,sout2746,sou,Southern Thai,Southern Tai,Southern Tai (Surat),ea,taik1256,language,safe,6.85668,99.7031,MM MY TH,Eurasia,NA,NA,NA,NA
2473,elfd1234,ovd,Elfdalian,Elfdalian,NA,ea,indo1319,dialect,definitely endangered,NA,NA,SE,Eurasia,NA,NA,NA,NA
2474,chen1255,cde,Chenchu,Nyinpa Cone,NA,ea,drav1251,language,safe,15.8787,79.2534,IN,Eurasia,1,NA,NA,NA
2475,mans1258,mns,Northern Mansi,Northern Mansi,Northern Mansi (Sośva),ea,ural1272,language,definitely endangered,64.4118,61.344,RU,Eurasia,NA,NA,NA,NA
2476,osse1243,oss,Ossetian,Iron Ossetic,Iron Ossetic (Ksani),ea,indo1319,language,vulnerable,41.7882,43.2674,AZ GE RU TR,NA,6,NA,5,NA
2477,dong1285,sce,Dongxiang,Dongxiang,NA,ea,mong1329,language,vulnerable,35.5808,103.558,CN,Eurasia,3,NA,NA,NA
2478,occi1239,oci,Occitan,Occitan,Occitan (Gascon),ea,indo1319,language,safe,44.1415,6.82979,AD ES FR IT MC,Eurasia,NA,NA,NA,NA
2479,panj1256,pan,Eastern Panjabi,Panjabi,Panjabi (Eastern),ea,indo1319,language,safe,30.0368,75.6702,BD IN PK,Eurasia,NA,NA,NA,NA
2480,czec1258,ces,Czech,Czech,Czech (Moravian),ea,indo1319,language,safe,49.873398,15.10437,AT CZ PL SK,Eurasia,NA,NA,NA,NA
2481,kond1303,knd,Konda,Konda,NA,ea,kond1302,language,vulnerable,-1.82635,132.06,ID,NA,NA,NA,NA,NA
2482,nene1249,yrk,Tundra Nenets,Tundra Nenets,Tundra Nenets (Central-Eastern),ea,ural1272,language,definitely endangered,66.1775,71.0234,RU,Eurasia,NA,NA,NA,NA
2483,sich1238,iii,Sichuan Yi,Nuosu,Nuosu (Black Yi),ea,sino1245,language,safe,28.1947,102.121,CN,Eurasia,NA,NA,NA,NA
2484,nort2641,kmr,Northern Kurdish,Northern Kurdish,Northern Kurdish (Kurmanji),ea,indo1319,language,safe,37,43,AM AZ IQ IR JO KW SY TM TR,Eurasia,3,NA,NA,NA
2485,selk1253,sel,Selkup,Taz Selkup,NA,ea,ural1272,language,definitely endangered,59.9409,82.3004,RU,Eurasia,1,NA,NA,NA
2486,nort2722,cng,Northern Qiang,Northern Qiang,Northern Qiang (Hongyan),ea,sino1245,language,definitely endangered,32.2766,103.192,CN,Eurasia,4,NA,NA,NA
2487,arbe1236,aae,Arbëreshë Albanian,Arbëresh Albanian,Arbëresh Albanian (Hora e Arbëreshëvet),ea,indo1319,language,vulnerable,38.911,16.7164,IT,Eurasia,NA,NA,NA,NA
2488,lith1251,lit,Lithuanian,Lithuanian,Lithuanian (South Samogitian),ea,indo1319,language,safe,55.1429,23.9601,BY LT LV PL RU,Eurasia,NA,NA,NA,NA
