InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea
531,rutu1240,rut,RUTUL,NA,0071+02BC,qʼ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,+,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0071+02E4+02B0,qˤʰ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,+,-,-,-,+,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0071+02E4+02BC,qˤʼ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,+,-,-,-,-,+,-,+,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0262,ɢ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0262+02B7,ɢʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0262+02B7+02E4,ɢʷˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0262+02E4,ɢˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0281,ʁ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0281+02B7,ʁʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0281+02B7+02E4,ʁʷˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,0281+02E4,ʁˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,03C7,χ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,03C7+02B7,χʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,03C7+02B7+02E4,χʷˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,+,-,-,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
531,rutu1240,rut,RUTUL,NA,03C7+02E4,χˤ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,+,-,-,-,-,-,-,-,-,-,nakh1245,west2428,Rutul,False,language,vulnerable,41.6187,47.3244,rut,NA,NA,0,0,3,AZ RU,rutu1240,rut,Eurasia
538,selk1253,sel,SELKUP,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,ural1272,kama1376,Selkup,False,language,definitely endangered,59.9409,82.3004,sel,NA,NA,0,0,9,RU,selk1253,sel,Eurasia
543,shus1248,shs,SHUSWAP,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0071+02B7,qʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0071+02B7+02C0,qʷˀ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0071+02C0,qˀ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0281+031E,ʁ̞,NA,FALSE,consonant,upsid,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0281+031E+02B7,ʁ̞ʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,0281+031E+0330+02B7,ʁ̞̰ʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,+,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,03C7,χ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
543,shus1248,shs,SHUSWAP,NA,03C7+02B7,χʷ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,sali1255,nort2948,Shuswap,False,language,definitely endangered,50.8734,-119.667,shs,NA,NA,0,0,2,CA,shus1248,shs,North America
